# a2_exit_states_by_dept.txt
# Job exit-state breakdown by department across all three analysis periods
# Derived from Slurm job accounting: JobState field
# Exit states: COMPLETED, FAILED, TIMEOUT, OUT_OF_MEMORY, CANCELLED, NODE_FAIL
# Period codes: AY2324=AY2023-24, FY2025=Full Year 2025, F25S26=Fall2025-Spring2026
# Columns: period, college, dept, state, job_count, wasted_cpu_hrs
period	college	dept	state	job_count	wasted_cpu_hrs
AY2324	CEC	ceie	COMPLETED	91420	0
AY2324	CEC	ceie	FAILED	4210	84200
AY2324	CEC	ceie	TIMEOUT	3890	389000
AY2324	CEC	ceie	OUT_OF_MEMORY	1820	54600
AY2324	CEC	ceie	CANCELLED	2338	23380
AY2324	CEC	ceie	NODE_FAIL	0	0
AY2324	CEC	cs	COMPLETED	159840	0
AY2324	CEC	cs	FAILED	8920	44600
AY2324	CEC	cs	TIMEOUT	5310	212400
AY2324	CEC	cs	OUT_OF_MEMORY	4100	41000
AY2324	CEC	cs	CANCELLED	6262	31310
AY2324	CEC	cs	NODE_FAIL	0	0
AY2324	CEC	stat	COMPLETED	280420	0
AY2324	CEC	stat	FAILED	9310	9310
AY2324	CEC	stat	TIMEOUT	4200	42000
AY2324	CEC	stat	OUT_OF_MEMORY	2100	6300
AY2324	CEC	stat	CANCELLED	11726	5863
AY2324	CEC	stat	NODE_FAIL	0	0
AY2324	CEC	ist	COMPLETED	10820	0
AY2324	CEC	ist	FAILED	980	490
AY2324	CEC	ist	TIMEOUT	320	3200
AY2324	CEC	ist	OUT_OF_MEMORY	210	210
AY2324	CEC	ist	CANCELLED	650	325
AY2324	CEC	ist	NODE_FAIL	0	0
AY2324	CEC	ece	COMPLETED	28940	0
AY2324	CEC	ece	FAILED	2210	44200
AY2324	CEC	ece	TIMEOUT	1640	98400
AY2324	CEC	ece	OUT_OF_MEMORY	820	24600
AY2324	CEC	ece	CANCELLED	511	5110
AY2324	CEC	ece	NODE_FAIL	0	0
AY2324	CEC	me	COMPLETED	280	0
AY2324	CEC	me	FAILED	62	7440
AY2324	CEC	me	TIMEOUT	48	14400
AY2324	CEC	me	OUT_OF_MEMORY	12	1800
AY2324	CEC	me	CANCELLED	7	840
AY2324	CEC	me	NODE_FAIL	0	0
AY2324	COS	phys	COMPLETED	118420	0
AY2324	COS	phys	FAILED	6210	124200
AY2324	COS	phys	TIMEOUT	3840	460800
AY2324	COS	phys	OUT_OF_MEMORY	2110	42200
AY2324	COS	phys	CANCELLED	1420	42600
AY2324	COS	phys	NODE_FAIL	0	0
AY2324	COS	aoes	COMPLETED	62840	0
AY2324	COS	aoes	FAILED	3420	82080
AY2324	COS	aoes	TIMEOUT	1980	237600
AY2324	COS	aoes	OUT_OF_MEMORY	2160	86400
AY2324	COS	aoes	CANCELLED	600	24000
AY2324	COS	aoes	NODE_FAIL	0	0
AY2324	COS	chem	COMPLETED	2840	0
AY2324	COS	chem	FAILED	420	54600
AY2324	COS	chem	TIMEOUT	310	123960
AY2324	COS	chem	OUT_OF_MEMORY	180	36000
AY2324	COS	chem	CANCELLED	50	6500
AY2324	COS	chem	NODE_FAIL	0	0
FY2025	CEC	ceie	COMPLETED	356820	0
FY2025	CEC	ceie	FAILED	16420	328400
FY2025	CEC	ceie	TIMEOUT	14310	1431000
FY2025	CEC	ceie	OUT_OF_MEMORY	7820	234600
FY2025	CEC	ceie	CANCELLED	8537	85370
FY2025	CEC	ceie	NODE_FAIL	0	0
FY2025	CEC	cs	COMPLETED	105840	0
FY2025	CEC	cs	FAILED	10920	54600
FY2025	CEC	cs	TIMEOUT	6210	248400
FY2025	CEC	cs	OUT_OF_MEMORY	5620	56200
FY2025	CEC	cs	CANCELLED	2642	13210
FY2025	CEC	cs	NODE_FAIL	0	0
FY2025	CEC	stat	COMPLETED	360420	0
FY2025	CEC	stat	FAILED	11310	11310
FY2025	CEC	stat	TIMEOUT	6200	62000
FY2025	CEC	stat	OUT_OF_MEMORY	3100	9300
FY2025	CEC	stat	CANCELLED	15970	7985
FY2025	CEC	stat	NODE_FAIL	0	0
FY2025	CEC	ist	COMPLETED	698420	0
FY2025	CEC	ist	FAILED	28310	14155
FY2025	CEC	ist	TIMEOUT	16420	164200
FY2025	CEC	ist	OUT_OF_MEMORY	8960	8960
FY2025	CEC	ist	CANCELLED	33493	16747
FY2025	CEC	ist	NODE_FAIL	0	0
FY2025	CEC	ece	COMPLETED	2640	0
FY2025	CEC	ece	FAILED	320	6400
FY2025	CEC	ece	TIMEOUT	210	12600
FY2025	CEC	ece	OUT_OF_MEMORY	98	2940
FY2025	CEC	ece	CANCELLED	71	710
FY2025	CEC	ece	NODE_FAIL	0	0
FY2025	CEC	me	COMPLETED	310	0
FY2025	CEC	me	FAILED	80	9600
FY2025	CEC	me	TIMEOUT	58	17400
FY2025	CEC	me	OUT_OF_MEMORY	16	2400
FY2025	CEC	me	CANCELLED	10	1200
FY2025	CEC	me	NODE_FAIL	0	0
FY2025	COS	phys	COMPLETED	144820	0
FY2025	COS	phys	FAILED	9210	184200
FY2025	COS	phys	TIMEOUT	5840	700800
FY2025	COS	phys	OUT_OF_MEMORY	3110	62200
FY2025	COS	phys	CANCELLED	1108	33240
FY2025	COS	phys	NODE_FAIL	0	0
FY2025	COS	aoes	COMPLETED	78420	0
FY2025	COS	aoes	FAILED	5120	122880
FY2025	COS	aoes	TIMEOUT	3280	393600
FY2025	COS	aoes	OUT_OF_MEMORY	3680	147200
FY2025	COS	aoes	CANCELLED	1081	43240
FY2025	COS	aoes	NODE_FAIL	0	0
FY2025	COS	chem	COMPLETED	2980	0
FY2025	COS	chem	FAILED	580	75400
FY2025	COS	chem	TIMEOUT	420	168000
FY2025	COS	chem	OUT_OF_MEMORY	290	58000
FY2025	COS	chem	CANCELLED	169	21970
FY2025	COS	chem	NODE_FAIL	0	0
FY2025	COS	math	COMPLETED	19820	0
FY2025	COS	math	FAILED	1420	22720
FY2025	COS	math	TIMEOUT	1080	64800
FY2025	COS	math	OUT_OF_MEMORY	620	6200
FY2025	COS	math	CANCELLED	2325	11625
FY2025	COS	math	NODE_FAIL	0	0
F25S26	CEC	ceie	COMPLETED	348200	0
F25S26	CEC	ceie	FAILED	18920	378400
F25S26	CEC	ceie	TIMEOUT	16840	1684000
F25S26	CEC	ceie	OUT_OF_MEMORY	9510	285300
F25S26	CEC	ceie	CANCELLED	10439	104390
F25S26	CEC	ceie	NODE_FAIL	0	0
F25S26	CEC	cs	COMPLETED	96840	0
