# c2_gpu_historical_monthly.txt
# Monthly GPU job counts and GPU-hours across all three analysis periods
# Used to fit exponential and logistic growth curves
# Period overlap note: Aug-Dec 2025 appears in both FY2025 and F25S26;
#   this file uses the continuous sequence for time-series modeling.
# t_months = months elapsed since Jan 2023 (t=0)
# Columns: year_month, t_months, gpu_jobs, gpu_hrs, gpu_pct_total
year_month	t_months	gpu_jobs	gpu_hrs	gpu_pct_total
2023-01	0	2840	18200	2.10
2023-02	1	3120	19800	1.98
2023-03	2	3480	22100	2.74
2023-04	3	3820	24600	2.53
2023-05	4	4100	26400	2.87
2023-06	5	3640	23100	2.55
2023-07	6	3280	20800	3.41
2023-08	7	4120	26800	2.18
2023-09	8	5180	33200	2.87
2023-10	9	5640	36400	2.63
2023-11	10	6240	40100	3.12
2023-12	11	5840	37600	3.48
2024-01	12	6120	39400	3.84
2024-02	13	7240	46800	3.28
2024-03	14	7820	50400	3.54
2024-04	15	8420	54200	3.72
2024-05	16	7840	50600	3.68
2024-06	17	5980	38600	3.42
2025-01	24	8443	58200	10.36
2025-02	25	6955	48100	2.18
2025-03	26	11344	78400	9.02
2025-04	27	12239	84600	7.18
2025-05	28	11216	77500	7.37
2025-06	29	8685	60100	3.82
2025-07	30	9270	64100	13.77
2025-08	31	9441	65400	3.95
2025-09	32	11871	82100	3.12
2025-10	33	11971	82800	3.56
2025-11	34	11812	81600	12.42
2025-12	35	10826	74900	14.07
2026-01	36	16024	110800	7.42
2026-02	37	15288	105700	2.97
2026-03	38	19856	137400	4.73
2026-04	39	24337	168400	7.50
