# Monthly job submissions, Full Year 2025 Retrospective
# Source: Hopper Stats 2025 Retrospective, GMU ORC
# Columns: year_month, cpu_jobs, gpu_jobs, total_jobs
year_month	cpu_jobs	gpu_jobs	total_jobs
2025-01	73242	8443	81685
2025-02	312983	6955	319938
2025-03	114411	11344	125755
2025-04	159153	12239	171392
2025-05	140768	11216	151984
2025-06	218790	8685	227475
2025-07	58043	9270	67313
2025-08	229877	9441	239318
2025-09	367874	11871	379745
2025-10	323931	11971	335902
2025-11	83253	11812	95065
2025-12	76923	10826	87749
