# Table 8: Top users by GPU resource metrics, Fall 2025-Spring 2026
# Source: Hopper Slurm job accounting records, GMU ORC (user IDs anonymized)
# Columns: user_id, total_gpu_hrs, total_gpu_jobs, avg_gpu_hrs_job, total_ngpus, total_gpu_mem_gb, avg_gpu_mem_gb
user_id	total_gpu_hrs	total_gpu_jobs	avg_gpu_hrs_job	total_ngpus	total_gpu_mem_gb	avg_gpu_mem_gb
U01_xwang44	134682.77	2513	53.59	8167	987436	392.46
U02_xli62	22553.65	2875	7.84	5875	186172	64.76
U03_afitz	19575.71	271	72.23	1389	98412	363.14
U04_amukher6	18350.21	5233	3.51	4129	208910	39.93
U05_ywijesu	17167.00	241	71.23	1085	73410	304.60
U06_jhong38	16830.57	196	85.87	1244	84112	429.14
U07_sshres2	15175.37	312	48.64	1388	62480	200.26
U08_clockha2	13689.05	211	64.88	945	49210	233.22
U09_yyuan21	13108.52	183	71.63	832	61440	335.74
U10_craj	11181.62	6883	1.62	6095	441174	64.09
U11_bchung6	9870.44	5574	1.77	5140	318290	57.11
U12_yyang47	8650.23	4944	1.75	4635	256110	51.80
U13_jpan23	7920.45	4376	1.81	4092	337708	77.17
U14_yzhou29	7110.32	4263	1.67	3916	281440	66.01
U15_admonte	6540.18	4087	1.60	5832	784691	191.92
